HB,Month,TotalPatientsSeen,TotalPatientsSeenQF,NumberOfPatientsSeen0To18Weeks,NumberOfPatientsSeen0To18WeeksQF,NumberOfPatientsSeen19To35Weeks,NumberOfPatientsSeen19To35WeeksQF,NumberOfPatientsSeen36To52Weeks,NumberOfPatientsSeen36To52WeeksQF,NumberOfPatientsSeenOver52Weeks,NumberOfPatientsSeenOver52WeeksQF,MedianWeeksPatientsSeen,MedianWeeksPatientsSeenQF,90thPercentileWeeksPatientsSeen,90thPercentileWeeksPatientsSeenQF
S08000015,202212,201,,194,,6,,0,,1,,12,,14,
S08000016,202212,,:,,:,,:,,:,,:,,:,,:
S08000017,202212,61,,60,,0,,1,,0,,4,,10,
S08000019,202212,53,,32,,5,,0,,16,,16,,89,
S08000020,202212,100,,98,,1,,1,,0,,6,,9,
S08000022,202212,52,,35,,12,,1,,4,,3,,35,
S08000024,202212,114,,59,,15,,14,,26,,16,,94,
S08000025,202212,,:,,:,,:,,:,,:,,:,,:
S08000026,202212,7,,7,,0,,0,,0,,3,,11,
S08000028,202212,12,,12,,0,,0,,0,,2,,3,
S08000029,202212,123,,73,,42,,8,,0,,10,,32,
S08000030,202212,84,,62,,21,,1,,0,,11,,23,
S08000031,202212,433,,411,,2,,20,,0,,4,,15,
S08000032,202212,156,,30,,5,,15,,106,,60,,80,
S92000003,202212,1396,d,1073,d,109,d,61,d,153,d,8,,58,
S08000015,202211,315,,201,,114,,0,,0,,15,,23,
S08000016,202211,,:,,:,,:,,:,,:,,:,,:
S08000017,202211,94,,91,,1,,1,,1,,5,,7,
S08000019,202211,81,,27,,22,,11,,21,,31,,83,
S08000020,202211,120,,117,,3,,0,,0,,7,,10,
S08000022,202211,123,,70,,9,,7,,37,,10,,105,
S08000024,202211,254,,136,,36,,35,,47,,15,,80,
S08000025,202211,,:,,:,,:,,:,,:,,:,,:
S08000026,202211,11,,10,,1,,0,,0,,12,,17,
S08000028,202211,18,,18,,0,,0,,0,,3,,5,
S08000029,202211,116,,83,,24,,9,,0,,7,,31,
S08000030,202211,136,,88,,45,,1,,2,,11,,24,
S08000031,202211,664,,606,,29,,28,,1,,5,,18,
S08000032,202211,247,,46,,5,,3,,193,,75,,86,
S92000003,202211,2179,d,1493,d,289,d,95,d,302,d,10,,73,
S08000015,202210,139,,85,,54,,0,,0,,17,,23,
S08000016,202210,38,,10,,9,,17,,2,,35,,40,
S08000017,202210,77,,76,,0,,0,,1,,3,,6,
S08000019,202210,74,,20,,19,,14,,21,,33,,93,
S08000020,202210,93,,89,,3,,1,,0,,7,,13,
S08000022,202210,67,,49,,8,,4,,6,,4,,49,
S08000024,202210,280,,191,,22,,29,,38,,4,,56,
S08000025,202210,,:,,:,,:,,:,,:,,:,,:
S08000026,202210,6,,6,,0,,0,,0,,3,,18,
S08000028,202210,14,,14,,0,,0,,0,,2,,7,
S08000029,202210,114,,88,,20,,6,,0,,5,,35,
S08000030,202210,119,,76,,43,,0,,0,,15,,21,
S08000031,202210,647,,545,,60,,42,,0,,8,,30,
S08000032,202210,189,,37,,8,,7,,137,,85,,105,
S92000003,202210,1857,d,1286,d,246,d,120,d,205,d,9,,59,
S08000015,202209,107,,72,,34,,0,,1,,14,,21,
S08000016,202209,46,,13,,3,,27,,3,,40,,43,
S08000017,202209,59,,55,,3,,0,,1,,2,,12,
S08000019,202209,77,,26,,10,,10,,31,,39,,79,
S08000020,202209,89,,86,,3,,0,,0,,10,,13,
S08000022,202209,81,,65,,9,,3,,4,,3,,30,
S08000024,202209,276,,189,,24,,24,,39,,3,,69,
S08000025,202209,,:,,:,,:,,:,,:,,:,,:
S08000026,202209,10,,10,,0,,0,,0,,7,,14,
S08000028,202209,9,,9,,0,,0,,0,,2,,8,
S08000029,202209,113,,82,,22,,9,,0,,6,,35,
S08000030,202209,121,,88,,29,,2,,2,,17,,22,
S08000031,202209,608,r,513,,75,,20,,0,r,5,,23,
